Sample	Treatment	Experiment	Mouse	Tissue	Batch
S74	PLX+PTX+aPD-1_R	d95	38843	Lung	LIB191025LC
S76	PLX+PTX+aPD-1_R	d95	38845	Lung	LIB191025LC
S77	PLX+PTX+aPD-1_NR	d95	38846	Lung	LIB191025LC
S78	PLX+PTX+aPD-1_NR	d95	38847	Lung	LIB191025LC
S79	PLX+PTX+aPD-1_R	d95	38848	Lung	LIB191025LC
S80	PLX+PTX+aPD-1_NR	d95	38849	Lung	LIB191025LC
S81	PLX+PTX+aPD-1_R	d95	38850	Lung	LIB191025LC
S82	PLX+PTX	d95	38851	Lung	LIB191025LC
S83	PLX+PTX	d95	38852	Lung	LIB191025LC
S84	PLX+PTX	d95	38853	Lung	LIB191025LC
S85	PTX	d95	38854	Lung	LIB191025LC
S86	PTX	d95	38855	Lung	LIB191025LC
S87	PTX	d95	38856	Lung	LIB191025LC
