Sample	Treatment	Experiment	Mouse	Tissue	Batch
S112	PTX+aPD-1	d105	34515	Tumor	LIB171213LC
S113	PTX	d105	34603	Tumor	LIB171213LC
S114	PTX	d105	34659	Tumor	LIB171213LC
S115	PTX	d105	34662	Tumor	LIB171213LC
S116	PTX	d105	34663	Tumor	LIB171213LC
S117	PLX	d105	31632	Tumor	LIB171213LC
S118	PLX	d105	31634	Tumor	LIB171213LC
S119	PLX	d105	31506	Tumor	LIB171213LC
S120	PLX	d105	32634	Tumor	LIB171213LC
S121	PLX	d105	32635	Tumor	LIB171213LC
S122	PLX	d105	32667	Tumor	LIB171213LC
S123	PLX	d105	32940	Tumor	LIB171213LC
S124	PLX	d105	32942	Tumor	LIB171213LC
S125	PLX	d105	32693	Tumor	LIB171213LC
S126	PLX	d105	32696	Tumor	LIB171213LC
S127	PLX	d105	32697	Tumor	LIB171213LC
S25	PLX+PTX+aPD-1_R	d105	37526	Tumor	LIB190603LC
S26	PLX+PTX+aPD-1_R	d105	37584	Tumor	LIB190603LC
S28	PLX+PTX+aPD-1_R	d105	37785	Tumor	LIB190603LC
S29	PLX+PTX+aPD-1_NR	d105	37759	Tumor	LIB190603LC
S30	PLX+PTX+aPD-1_R	d105	37828	Tumor	LIB190603LC
S31	PLX+PTX+aPD-1_R	d105	37826	Tumor	LIB190603LC
S32	PLX+PTX+aPD-1_NR	d105	37847	Tumor	LIB190603LC
S33	PLX+PTX+aPD-1_R	d105	37881	Tumor	LIB190603LC
S34	PLX+PTX+aPD-1_NR	d105	37868	Tumor	LIB190603LC
S35	PLX+PTX+aPD-1_NR	d105	37869	Tumor	LIB190603LC
S37	PLX+PTX	d105	37582	Tumor	LIB190603LC
S38	PLX+PTX	d105	37876	Tumor	LIB190603LC
S39	PLX+PTX	d105	37817	Tumor	LIB190603LC
S41	PLX+PTX	d105	37590	Tumor	LIB190603LC
S42	PTX	d105	37849	Tumor	LIB190603LC
S43	PTX	d105	37850	Tumor	LIB190603LC
S44	WTNT	d105	F1	Tumor	LIB190603LC
S45	WTNT	d105	F2	Tumor	LIB190603LC
S46	WTNT	d105	F3	Tumor	LIB190603LC
S47	WTNT	d105	F4	Tumor	LIB190603LC
S48	WTNT	d105	F5	Tumor	LIB190603LC
S47	PLX+PTX+aPD-1_R	d95	38844	Tumor	LIB191025LC
S50	PLX+PTX+aPD-1_NR	d95	38847	Tumor	LIB191025LC
S51	PLX+PTX+aPD-1_R	d95	38848	Tumor	LIB191025LC
S53	PLX+PTX+aPD-1_R	d95	38850	Tumor	LIB191025LC
S57	PTX	d95	38854	Tumor	LIB191025LC
S58	PTX	d95	38855	Tumor	LIB191025LC
S59	PTX	d95	38856	Tumor	LIB191025LC
