Sample,Treatment,Experiment,Mouse,Tissue,Batch,geoSample,Title
S148,PTX+aPD-1,d105,34514,Lung,LIB171213LC,APL70,d105 PTX+aPD-1
S149,PTX+aPD-1,d105,34515,Lung,LIB171213LC,APL71,d105 PTX+aPD-1
S150,PTX,d105,34603,Lung,LIB171213LC,APL72,d105 PTX
S151,PTX,d105,34659,Lung,LIB171213LC,APL73,d105 PTX
S152,PTX,d105,34662,Lung,LIB171213LC,APL74,d105 PTX
S153,PTX,d105,34663,Lung,LIB171213LC,APL75,d105 PTX
S154,PLX,d105,31632,Lung,LIB171213LC,APL76,d105 PLX
S155,PLX,d105,31634,Lung,LIB171213LC,APL77,d105 PLX
S156,PLX,d105,31506,Lung,LIB171213LC,APL78,d105 PLX
S158,PLX,d105,32635,Lung,LIB171213LC,APL79,d105 PLX
S159,PLX,d105,32667,Lung,LIB171213LC,APL80,d105 PLX
S161,PLX,d105,32942,Lung,LIB171213LC,APL81,d105 PLX
S162,PLX,d105,32693,Lung,LIB171213LC,APL82,d105 PLX
S163,PLX,d105,32696,Lung,LIB171213LC,APL83,d105 PLX
S164,PLX,d105,32697,Lung,LIB171213LC,APL84,d105 PLX
S24,PLX+PTX+aPD-1_R,d105,37526,Lung,LIB190701LC,APL85,d105 PLX+PTX+aPD-1_R
S25,PLX+PTX+aPD-1_R,d105,37584,Lung,LIB190701LC,APL86,d105 PLX+PTX+aPD-1_R
S26,PLX+PTX+aPD-1_R,d105,37588,Lung,LIB190701LC,APL87,d105 PLX+PTX+aPD-1_R
S27,PLX+PTX+aPD-1_R,d105,37785,Lung,LIB190701LC,APL88,d105 PLX+PTX+aPD-1_R
S28,PLX+PTX+aPD-1_NR,d105,37759,Lung,LIB190701LC,APL89,d105 PLX+PTX+aPD-1_NR
S29,PLX+PTX+aPD-1_R,d105,37828,Lung,LIB190701LC,APL90,d105 PLX+PTX+aPD-1_R
S30,PLX+PTX+aPD-1_R,d105,37826,Lung,LIB190701LC,APL91,d105 PLX+PTX+aPD-1_R
S31,PLX+PTX+aPD-1_NR,d105,37847,Lung,LIB190701LC,APL92,d105 PLX+PTX+aPD-1_NR
S32,PLX+PTX+aPD-1_R,d105,37881,Lung,LIB190701LC,APL93,d105 PLX+PTX+aPD-1_R
S33,PLX+PTX+aPD-1_NR,d105,37868,Lung,LIB190701LC,APL94,d105 PLX+PTX+aPD-1_NR
S34,PLX+PTX+aPD-1_NR,d105,37869,Lung,LIB190701LC,APL95,d105 PLX+PTX+aPD-1_NR
S35,PLX+PTX,d105,37592,Lung,LIB190701LC,APL96,d105 PLX+PTX
S36,PLX+PTX,d105,37582,Lung,LIB190701LC,APL97,d105 PLX+PTX
S37,PLX+PTX,d105,37876,Lung,LIB190701LC,APL98,d105 PLX+PTX
S38,PLX+PTX,d105,37817,Lung,LIB190701LC,APL99,d105 PLX+PTX
S40,PLX+PTX,d105,37590,Lung,LIB190701LC,APL100,d105 PLX+PTX
S41,PTX,d105,37849,Lung,LIB190701LC,APL101,d105 PTX
S42,PTX,d105,37850,Lung,LIB190701LC,APL102,d105 PTX
S43,WTNT,d105,F1,Lung,LIB190701LC,APL103,d105 WTNT
S44,WTNT,d105,F2,Lung,LIB190701LC,APL104,d105 WTNT
S45,WTNT,d105,F3,Lung,LIB190701LC,APL105,d105 WTNT
S46,WTNT,d105,F4,Lung,LIB190701LC,APL106,d105 WTNT
S47,WTNT,d105,F5,Lung,LIB190701LC,APL107,d105 WTNT
S74,PLX+PTX+aPD-1_R,d95,38843,Lung,LIB191025LC,APL108,d95 PLX+PTX+aPD-1_R
S76,PLX+PTX+aPD-1_R,d95,38845,Lung,LIB191025LC,APL109,d95 PLX+PTX+aPD-1_R
S77,PLX+PTX+aPD-1_NR,d95,38846,Lung,LIB191025LC,APL110,d95 PLX+PTX+aPD-1_NR
S78,PLX+PTX+aPD-1_NR,d95,38847,Lung,LIB191025LC,APL111,d95 PLX+PTX+aPD-1_NR
S79,PLX+PTX+aPD-1_R,d95,38848,Lung,LIB191025LC,APL112,d95 PLX+PTX+aPD-1_R
S80,PLX+PTX+aPD-1_NR,d95,38849,Lung,LIB191025LC,APL113,d95 PLX+PTX+aPD-1_NR
S81,PLX+PTX+aPD-1_R,d95,38850,Lung,LIB191025LC,APL114,d95 PLX+PTX+aPD-1_R
S82,PLX+PTX,d95,38851,Lung,LIB191025LC,APL115,d95 PLX+PTX
S83,PLX+PTX,d95,38852,Lung,LIB191025LC,APL116,d95 PLX+PTX
S84,PLX+PTX,d95,38853,Lung,LIB191025LC,APL117,d95 PLX+PTX
S85,PTX,d95,38854,Lung,LIB191025LC,APL118,d95 PTX
S86,PTX,d95,38855,Lung,LIB191025LC,APL119,d95 PTX
S87,PTX,d95,38856,Lung,LIB191025LC,APL120,d95 PTX
