Sample	Rare	Small	Medium	Large	Hyperexpanded
LIB170728LC_S1	0	0	0.0507368212837504	0.587676787657007	0.361586391059242
LIB170728LC_S2	0	0.0168109022182433	0.110912165522729	0.744553864518054	0.127723067740973
LIB170728LC_S4	0	0.0144178184349209	0.114447648404097	0.741970766630208	0.129163766530775
LIB170728LC_S5	0	0.0334481062469257	0.18662075750123	0.73182488932612	0.0481062469257256
LIB170728LC_S6	0	0	0.286709052376627	0.641134322333232	0.0721566252901403
LIB170728LC_S7	0	0.0739600913332672	0.675766901618187	0.229325920778318	0.0209470862702273
LIB170728LC_S8	0	0	0.391189606171336	0.596122614697523	0.0126877791311409
LIB170728LC_S9	0	0.0387634936211973	0.27801766437684	0.683218842001963	0
LIB170728LC_S10	0	0.0351960784313725	0.240392156862745	0.603529411764706	0.120882352941176
LIB170728LC_S11	0	0.0327643711987443	0.24072984108299	0.603688444182852	0.122817343535413
LIB170728LC_S12	0	0.0219616416575574	0.117559375931631	0.711517440127199	0.148961542283613
LIB170728LC_S13	0	0	0.0626362735381566	0.587413280475719	0.349950445986125
LIB170728LC_S15	0	0	0.115890438050035	0.705824186690398	0.178285375259567
LIB170728LC_S18	0	0	0.0686264773065846	0.666401827391002	0.264971695302413
LIB170728LC_S19	0	0	0.332832381524897	0.430217413084861	0.236950205390241
LIB170728LC_S20	0	0.0200919632147141	0.229908036785286	0.620251899240304	0.129748100759696
LIB170728LC_S21	0	0.0497800879648141	0.458316673330668	0.468412634946022	0.0234906037584966
LIB170728LC_S22	0	0	0.464801535198465	0.504999495000505	0.0301989698010302
LIB170728LC_S23	0	0	0.0650422675285927	0.610442565887618	0.324515166583789
LIB170728LC_S24	0	0.0173758515154507	0.141672425708362	0.709448119261526	0.131503603514661
LIB170728LC_S25	0	0	0.10804392994954	0.726625111308994	0.165330958741466
LIB170728LC_S26	0	0	0.0642793373673246	0.490030750917568	0.445689911715108
LIB170728LC_S27	0	0	0.122954883490332	0.669112543381259	0.207932573128409
LIB170728LC_S29	0	0.0240844931398677	0.151416444576054	0.651761918862896	0.172737143421182
LIB170728LC_S30	0	0	0.0670374416525971	0.63809712980435	0.294865428543053
LIB170728LC_S31	0	0.0233474534528618	0.220766426953009	0.668111516106787	0.0877746034873411
LIB170728LC_S32	0	0.0189412820257203	0.136875685375336	0.768617286412122	0.0755657461868208
LIB170728LC_S33	0	0.0426368012574909	0.283426662737008	0.641320365458297	0.032616170547205
LIB170728LC_S34	0	0	0.114793134239508	0.670205377517611	0.215001488242882
LIB170728LC_S36	0	0	0.0993509735396904	0.524013979031453	0.376635047428857
LIB170728LC_S38	0	0	0.344211266191385	0.450346420323326	0.20544231348529
LIB170728LC_S41	0	0	0.366636391159552	0.536986577858512	0.0963770309819356
LIB170728LC_S42	0	0.0339311682016481	0.348424624333495	0.594667959282598	0.0229762481822588
LIB170728LC_S43	0	0	0.0703835508105971	0.762949782522736	0.166666666666667
LIB170728LC_S44	0	0.0224014336917563	0.129430505774592	0.7647351652728	0.0834328952608522
LIB170728LC_S45	0	0	0.449341438703141	0.244478216818642	0.306180344478217
LIB170728LC_S46	0	0	0.675434193354081	0.291737777331593	0.0328280293143258
LIB170728LC_S47	0	0	0.495708371200646	0.434615772998081	0.0696758558012724
LIB170728LC_S48	0	0	0.639865484561296	0.336492408030164	0.0236421074085397
LIB170728LC_S49	0	0	0.151242205285559	0.83232703157478	0.0164307631396615
LIB170728LC_S50	0	0.0544515103338633	0.518779809220986	0.2995826709062	0.12718600953895
LIB170728LC_S51	0	0.0433047878551966	0.303814713896458	0.531724406383807	0.121156091864539
LIB170728LC_S52	0	0.0126407268417934	0.105273553229311	0.633418921587991	0.248666798340904
LIB170728LC_S53	0	0.0170516506394369	0.108654704074551	0.706552988995737	0.167740656290275
LIB170728LC_S54	0	0	0.992734266481463	0.00726573351853832	0
LIB170728LC_S55	0	0	0.123492189044888	0.685485465691121	0.191022345263991
LIB170728LC_S59	0	0.0237201027871121	0.133722079462344	0.714172761415299	0.128385056335244
LIB170728LC_S60	0	0	0.063238359972203	0.653231410701876	0.283530229325921
LIB170728LC_S61	0	0.0139511709018435	0.148281016442451	0.310014947683109	0.527752864972596
LIB170728LC_S62	0	0	0.0938242280285036	0.756136183689628	0.150039588281869
LIB170728LC_S63	0	0	0.0990999901097814	0.720601325289289	0.18029868460093
LIB170728LC_S64	0	0.0259185700099305	0.234061569016882	0.646971201588878	0.0930486593843099
LIB170728LC_S65	0	0.0416503332026656	0.281850254802038	0.51313210505684	0.163367306938456
LIB171213LC_S113	0	0	0.0116129032258065	0.393647642679901	0.594739454094293
LIB171213LC_S114	0	0.00367282112368473	0.0270994639666468	0.800178677784395	0.169049037125273
LIB171213LC_S115	0	0.00327966607036375	0.0196779964221825	0.738322401113099	0.238719936394355
LIB171213LC_S116	0	0.00546285260230433	0.0499602701628923	0.69854986094557	0.246027016289233
LIB190603LC_S42	0	0	0.421301418083073	0.386503067484663	0.192195514432264
LIB190603LC_S43	0	0.131461009859576	0.586097002290608	0.216113932875212	0.0663280549746041
LIB170728LC_S89	0	0.0928535732133933	0.64527736131934	0.173213393303348	0.088655672163918
LIB170728LC_S90	0	0.0783132530120482	0.646431881371641	0.275254865616312	0
LIB170728LC_S91	0	0	0.0976786252637926	0.822429906542056	0.0798914681941514
LIB170728LC_S92	0	0	0.0963855421686747	0.768220422674304	0.135394035157022
LIB170728LC_S93	0	0	0.111615513668213	0.800848712128688	0.0875357742030987
LIB170728LC_S94	0	0	0.0565570522979398	0.572305863708399	0.371137083993661
LIB170728LC_S98	0	0	0.0772523643603783	0.690691886510702	0.23205574912892
LIB170728LC_S99	0	0	0.0612406947890819	0.624019851116625	0.314739454094293
LIB170728LC_S101	0	0.0208086785009862	0.207199211045365	0.540729783037475	0.231262327416174
LIB170728LC_S102	0	0.0365963403659634	0.428157184281572	0.412458754124587	0.122787721227877
LIB171213LC_S98	0	0	0.0175717263972997	0.295542539461928	0.686885734140772
LIB171213LC_S99	0	0	0.0242694403169886	0.640118870728083	0.335611688954928
LIB171213LC_S100	0	0.00989511181476351	0.191470413615674	0.719176726697012	0.079457747872551
LIB171213LC_S101	0	0.00466964729259811	0.0595131644311972	0.713363139592648	0.222454048683557
LIB171213LC_S102	0	0	0.0138999205718824	0.420174741858618	0.5659253375695
LIB171213LC_S103	0	0	0.0142673139799861	0.425146140889726	0.560586545130288
LIB190603LC_S37	0	0.0195766669979132	0.0827784954784856	0.459604491702276	0.438040345821326
LIB190603LC_S38	0	0.0237858280254777	0.371616242038217	0.420282643312102	0.184315286624204
LIB190603LC_S39	0	0.0356431700517722	0.571983273596177	0.373755475906013	0.0186180804460374
LIB190603LC_S41	0	0.0603276068717539	0.568318018377946	0.323012385137835	0.048341989612465
LIB170728LC_S103	0	0	0.276713709677419	0.689616935483871	0.0336693548387097
LIB170728LC_S105	0	0	0.0597970643286375	0.51748596197419	0.422716973697173
LIB170728LC_S106	0	0	0.0677746815286624	0.621019108280255	0.311206210191083
LIB170728LC_S107	0	0	0.0911965220827981	0.702104535124988	0.206698942792214
LIB170728LC_S109	0	0.019541712131733	0.103561154647356	0.690804483682175	0.186092649538736
LIB170728LC_S110	0	0.0157394575331617	0.116313601267076	0.691348247871709	0.176598693328054
LIB170728LC_S111	0	0	0.0583984954963873	0.709789171533208	0.231812332970405
LIB170728LC_S114	0	0.0126847782660807	0.081701957650819	0.680982820615262	0.224630443467839
LIB170728LC_S115	0	0.0293738215738811	0.198074823856306	0.68730773047534	0.0852436240944726
LIB170728LC_S116	0	0.0418385385975251	0.295128658416814	0.61539972500491	0.0476330779807504
LIB170728LC_S117	0	0	0	0.1125	0.8875
LIB170728LC_S118	0	0.0332196785192401	0.279103750608865	0.503263516804676	0.184413054067219
LIB170728LC_S119	0	0	0.429257329655736	0.373378281744816	0.197364388599448
LIB170728LC_S120	0	0	0.122759587463703	0.696305196755783	0.180935215780515
LIB170728LC_S121	0	0	0.427214220042905	0.533353764429461	0.039432015527633
LIB170728LC_S122	0	0.0313498402555911	0.256289936102236	0.654452875399361	0.0579073482428116
LIB170728LC_S123	0	0	0.158953329427846	0.708162468267916	0.132884202304238
LIB171213LC_S91	0	0	0.0169676523119667	0.312859694383806	0.670172653304226
LIB171213LC_S92	0	0.00584795321637427	0.0514421647338686	0.532758449796808	0.409951432252948
LIB171213LC_S93	0	0	0.0163853028798411	0.382025819265144	0.601588877855015
LIB190603LC_S25	0	0.0197054140127389	0.149382961783439	0.597631369426752	0.23328025477707
LIB190603LC_S26	0	0.0261275581164315	0.131233856546791	0.621696801112656	0.220941784224121
LIB190603LC_S28	0	0.0274845648277236	0.551284604660426	0.341665006970723	0.0795658235411272
LIB190603LC_S30	0	0	0.0796241345202769	0.220969337289812	0.699406528189911
LIB190603LC_S31	0	0.0421752505706063	0.55056068274288	0.28441004267143	0.122854024015084
LIB190603LC_S33	0	0	0.341636654661865	0.292316926770708	0.366046418567428
LIB171213LC_S94	0	0	0.0113207547169811	0.410327706057597	0.578351539225422
LIB171213LC_S95	0	0	0.0188679245283019	0.357497517378351	0.623634558093346
LIB171213LC_S96	0	0.00555941626129257	0.0647274893279063	0.626824183460737	0.302888910950065
LIB171213LC_S97	0	0	0.0271690629647992	0.493604362915221	0.47922657411998
LIB190603LC_S29	0	0.0214626391096979	0.44912559618442	0.484101748807631	0.0453100158982512
LIB190603LC_S32	0	0.0635884167578864	0.55060204995522	0.369788038610807	0.0160214946760872
LIB190603LC_S34	0	0.031166253101737	0.609925558312655	0.332307692307692	0.0266004962779156
LIB190603LC_S35	0	0.0203494143339289	0.308020647210641	0.58318443517967	0.0884455032757595
LIB171213LC_S104	0	0.00228537360890302	0.0274244833068362	0.58664546899841	0.383644674085851
LIB171213LC_S105	0	0	0.0150629273610148	0.337924883559608	0.647012189079377
LIB171213LC_S106	0	0	0.0141766630316249	0.351839000693963	0.633984336274413
LIB171213LC_S107	0	0.00248311481922924	0.021056813667064	0.733710766785856	0.242749304727851
LIB171213LC_S108	0	0.00762829403606103	0.0767782841291857	0.831880324945512	0.0837130968892413
LIB171213LC_S109	0	0.0114576068546378	0.0897678589219887	0.823453223074624	0.0753213111487496
LIB171213LC_S110	0	0.00357852882703777	0.0486083499005964	0.80675944333996	0.141053677932406
LIB171213LC_S111	0	0.00347912524850895	0.022962226640159	0.695029821073559	0.278528827037773
LIB171213LC_S112	0	0.00337703615415177	0.0353595550258244	0.779201430274136	0.182061978545888
LIB171213LC_S117	0	0	0.0169340463458111	0.549217666864726	0.433848286789464
LIB171213LC_S118	0	0	0.0204466501240695	0.343325062034739	0.636228287841191
LIB171213LC_S119	0	0	0.893692059653366	0.0667069729947602	0.0396009673518742
LIB171213LC_S120	0	0	0.0216853153777602	0.516684820279236	0.461629864343004
LIB171213LC_S121	0	0.00297766749379653	0.0314640198511166	0.762282878411911	0.203275434243176
LIB171213LC_S122	0	0	0.0137760158572844	0.449256689791873	0.536967294350842
LIB171213LC_S123	0	0.0035710742981847	0.0236087689713322	0.673544291240948	0.299275865489535
LIB171213LC_S124	0	0.00675340152944682	0.165954911113318	0.699771576124739	0.127520111232496
LIB171213LC_S125	0	0	0.0211183819155265	0.443783462224866	0.535098155859607
LIB171213LC_S126	0	0.00467894474863116	0.159980089596814	0.628770532603285	0.206570433051269
LIB171213LC_S127	0	0	0.0229007633587786	0.43442054129077	0.542678695350451
LIB190603LC_S44	0	0	0.971546336923284	0.0152905198776758	0.0131631431990427
LIB190603LC_S45	0	0	0.859453486035762	0.0166767128792445	0.123869801084991
LIB190603LC_S46	0	0	0.974339458519081	0.00674132869413939	0.0189192127867783
LIB190603LC_S47	0	0	0.945694022289765	0.0259371833839919	0.0283687943262411
LIB190603LC_S48	0	0.162751174647606	0.548935319404179	0.0755773268019594	0.212736179146256
LIB191025LC_S47	0	0.00778365432591557	0.0759405248977148	0.529787446362639	0.386488374413731
LIB191025LC_S51	0	0	0.0417866004962779	0.356129032258064	0.602084367245658
LIB191025LC_S53	0	0	0.0588585607940447	0.48575682382134	0.455384615384615
LIB191025LC_S50	0	0	0	0.332770773354512	0.667229226645488
LIB191025LC_S57	0	0	0.091997230190919	0.431793451379959	0.476209318429123
LIB191025LC_S58	0	0.0143569292123629	0.203888334995015	0.731405782652044	0.0503489531405783
LIB191025LC_S59	0	0.00633977216443784	0.102030708271422	0.689351163942546	0.202278355621595
